kbb_price,trade_in_value,accepted
11642,2590,0
15352,5276,0
8998,4699,1
10254,7349,0
15331,8686,1
12133,4587,1
15012,8336,0
10611,6798,0
10448,5845,1
12021,8194,0
8267,3995,1
10814,4927,0
12021,2614,0
13734,0,0
9313,5586,0
15408,9262,0
12861,3016,0
7443,4252,0
8522,3932,1
10027,4944,0
13419,4954,0
14684,9129,0
17811,8785,0
13206,8364,1
13879,8100,1
13310,4235,0
3849,1877,0
16905,6463,0
16186,4715,0
10962,3207,0
12366,6985,0
13928,9860,0
10874,4527,0
8417,5283,1
10934,2657,0
13809,3061,0
16790,13419,1
16356,6141,1
8677,2917,0
14652,3875,0
7710,3803,1
10947,3838,1
11298,2759,1
11703,8718,1
10183,2072,0
13276,10327,0
11626,7783,0
9121,2421,0
7689,5602,0
12782,7395,0
15304,10752,0
11561,2636,0
7916,4433,0
11961,3453,0
12763,7894,0
8152,1031,0
17289,7127,1
9030,4457,0
15766,5071,1
11098,5116,0
11523,6774,0
10183,4119,0
10748,7055,1
12220,5976,0
13325,4760,0
7958,5819,0
13064,5651,0
9700,6161,0
11245,4470,1
13189,4773,0
10287,2553,0
11055,6307,0
15505,4458,0
14557,8439,0
9615,5612,0
9275,5257,1
13254,7835,0
9904,6266,0
5789,1849,1
6582,1336,0
14680,5109,0
14162,6203,0
12379,5492,0
11318,5969,0
11583,2348,0
12029,9026,1
16382,12595,0
14089,10815,1
13107,3011,0
12109,5087,0
17694,11289,0
11983,2420,0
11096,6488,0
12404,7156,0
5716,2584,1
9193,5517,0
8803,7022,0
12297,2499,0
16368,10932,0
17617,6238,0
8243,5081,1
10062,5621,0
15192,8566,1
12777,6843,0
12792,4302,1
12885,4524,0
7967,4823,1
14179,8153,0
14699,11522,1
11350,5788,1
10114,2204,0
11929,9540,1
5150,3793,1
9121,4889,1
9649,5911,1
11065,2403,0
13265,5954,0
14091,5068,0
14995,6026,0
9223,3378,0
13237,0,1
7814,3332,1
10303,2312,0
15454,6034,1
11680,3522,0
8483,2675,0
12480,3680,0
14205,9765,1
11608,8625,0
15551,6838,0
8421,2374,0
13293,3843,0
14274,5443,0
14646,6058,1
6349,2585,0
10954,2977,0
12463,3562,0
8463,2470,0
8159,2932,0
14849,4704,1
14942,10103,0
10171,2766,0
7142,4016,0
9929,2087,0
12349,5719,0
8772,2235,1
14208,5270,0
12841,10243,0
13794,7068,0
14713,4071,0
11213,3052,0
18843,4769,0
9958,5634,1
9131,2565,0
10403,3696,0
5552,1243,0
10550,4834,0
10664,6541,0
12700,6727,1
16800,8658,1
13209,4697,0
8212,6041,1
14034,5820,0
15061,8234,0
13239,4232,0
10344,4447,1
16294,6375,0
12927,7644,1
10865,2573,0
14079,10130,1
12734,2757,0
10988,6478,1
12471,8203,1
9196,3960,1
6588,1462,0
14984,3602,0
13914,8529,1
17249,11654,0
10898,8511,1
10019,7262,0
15196,10808,0
14364,3620,0
15701,10136,0
15448,7330,1
11604,4764,1
13399,3894,0
16435,7703,0
7616,2103,0
14841,6112,0
13318,7481,1
12243,9577,1
6515,3817,0
5113,3172,0
11526,3655,0
13298,8954,1
13297,7629,0
13096,8030,0
16000,4183,1
14997,8250,0
7238,2160,0
15832,9612,1
14678,0,1
8504,3357,0
9108,5798,1
17562,12087,1
11963,7880,0
17794,4276,0
8870,2931,0
7279,3850,0
8745,6415,0
13973,3728,0
8176,2550,0
13291,5846,0
12489,9692,0
10870,3629,0
18093,10979,0
7890,3086,0
10461,3737,0
11080,2830,0
12688,6790,0
13601,4776,0
14260,7598,0
11954,8996,1
11079,2980,0
10322,2579,0
10813,6276,0
12454,6896,1
13661,5443,0
12621,3205,0
10296,7292,0
13239,9652,1
10772,8564,1
13403,10268,0
13415,9685,1
12841,2871,0
10410,6707,0
11082,8805,1
14596,2982,0
11641,1188,0
10888,3977,1
7421,2756,0
17250,5261,0
12468,3639,0
16897,3455,0
18081,11166,1
14003,9981,1
9794,4785,0
9985,3003,0
15441,9128,1
11965,3550,0
13308,5100,0
12059,3115,0
8536,6678,1
17865,9235,0
7846,2166,0
8229,6155,0
10293,6168,0
10882,2609,0
10419,2593,0
12251,4753,0
14012,5157,1
14338,7333,0
9621,7675,1
11528,6595,0
12550,2514,0
14527,4612,0
14590,10935,0
12823,3510,0
5663,1192,1
14076,6110,0
12061,4693,1
12480,6280,0
11957,7586,1
6016,2834,0
17339,7670,0
10803,0,0
14758,3861,0
14182,3550,0
10336,2243,0
6294,3742,1
5445,1323,0
11949,2973,0
12921,4976,0
12301,4158,0
13598,5965,0
19192,14225,0
13423,8872,0
15702,5902,0
13106,10258,1
13070,5507,0
11645,4620,0
9972,5268,0
15266,12127,0
13725,8681,0
13202,6855,1
11373,3800,0
13769,7984,1
9320,2419,0
12166,7947,1
9268,4138,0
6675,3815,1
10341,3896,1
10493,4627,1
10986,3212,0
16674,10176,1
9770,3242,0
9995,6468,0
12727,3766,0
10332,3608,0
14140,8692,1
7007,3680,0
10975,6048,0
14435,8733,1
9460,2402,0
14908,10581,1
12665,3765,0
13339,6315,0
15949,10054,0
9606,2606,0
11228,3344,0
11601,8942,0
14027,8557,0
8912,6483,0
15720,7220,1
14114,10213,0
10985,3792,0
14134,10464,1
15701,8382,1
15806,7754,1
10775,2641,0
7966,2319,0
15711,4792,0
9506,2681,0
11440,4660,0
14606,11492,0
6677,1344,0
10136,3258,1
10824,6425,1
14169,5141,0
15090,8984,0
11918,3379,0
8668,4817,1
13944,6398,0
15565,4032,1
11619,2775,0
15706,4581,0
11298,6232,1
13028,7707,0
15391,8094,1
9076,2339,0
16304,9519,1
12172,5150,0
9742,3623,0
12050,9481,1
16539,8860,1
13587,6323,1
12012,8344,0
8364,3863,0
7334,3184,0
6859,2857,1
8822,2860,0
13104,7759,1
9552,5730,0
13804,2865,0
12604,4665,0
7955,4402,1
7720,5690,0
13197,3690,0
13938,7154,0
10020,5232,1
11503,8919,0
14624,4027,0
11705,4144,0
15645,11834,1
12321,4396,0
10228,5192,0
10440,2324,0
11573,3413,0
16495,4156,0
12451,5485,0
10958,8348,1
11324,4185,0
11916,4227,0
10850,6970,1
11581,5582,1
11972,3800,0
14314,4019,0
14061,10857,0
12352,2920,0
14141,9262,1
15224,3961,0
8631,3296,1
13582,3066,0
8895,6827,1
13859,4699,0
9297,2633,0
12815,4655,0
1424,367,0
16691,11735,0
14629,7469,0
13859,7677,1
10352,5388,1
18494,14501,1
17193,7008,0
13262,7502,0
12478,9786,1
15776,9866,0
12704,5243,0
12340,6060,1
13333,5710,1
7221,3698,0
10691,5283,0
9382,4353,0
12676,10040,1
12768,2901,0
12265,7828,0
16879,13025,1
15003,3345,0
8704,6748,1
11146,5114,0
13019,4044,0
17522,8485,0
10506,3130,0
8872,6715,1
10699,3773,0
10025,5990,1
12481,5339,0
7604,2807,0
6946,1599,0
11558,7360,1
12626,2739,0
13791,7124,0
10541,2684,0
17509,3600,0
16386,10933,0
10434,3903,0
13929,4075,1
15478,5619,0
9266,5749,0
11042,2338,1
9724,2730,0
11883,4771,0
16699,4909,1
11267,2479,0
12850,3239,0
11975,7542,1
15359,8068,0
17573,4897,0
13328,6532,1
12396,3456,0
7236,2792,1
14355,0,0
7643,1879,0
8929,2823,0
12323,7556,1
12620,3123,0
12050,4944,0
10411,7215,0
9115,4878,0
9389,3260,0
13357,8620,0
7969,1599,0
16817,8182,0
14117,2839,0
14293,7982,0
10839,4871,0
10938,2898,0
11849,6428,0
10471,6625,1
12220,3237,0
6902,1433,0
7657,3643,0
11192,6868,1
7088,2047,0
11202,8669,1
12973,7481,1
12318,6041,0
10567,3586,1
15259,9576,1
14069,4362,1
13713,10787,0
14371,9402,0
12084,3640,0
10117,7644,1
9338,3710,0
9049,5253,0
11439,5785,1
9936,4396,0
5049,1143,0
12554,7344,1
12712,8801,1
10305,2107,0
16551,12936,1
13856,5073,0
14676,5948,0
16127,4183,0
10585,3907,0
10465,1041,0
17157,9921,0
14214,2951,0
12363,7822,0
16215,7877,0
14610,3810,0
18195,8502,0
11831,8180,0
15494,3213,0
6562,4147,1
15766,8954,0
9656,4640,0
15655,6585,0
13492,6433,0
17379,6454,0
11533,3845,0
13838,9617,1
13044,4299,0
11991,2701,1
12183,3304,0
8394,1961,0
14914,10414,0
13206,9378,1
12716,9020,0
6333,2522,0
14595,10012,1
12575,4200,0
10488,3524,1
15705,3333,0
7888,1629,0
11505,5279,1
10281,7360,0
10795,2602,0
10561,7184,1
8560,4749,1
18758,6599,0
17310,6373,0
9264,3719,0
7284,2413,0
5930,2397,0
8811,5807,0
8095,5282,1
14533,5569,0
14247,6598,0
12824,4130,1
8114,3466,0
13257,5641,0
12127,2426,0
14317,4921,0
12338,8979,1
7909,4800,0
6428,2165,0
9211,2089,0
8784,4926,1
7879,5384,1
17355,3647,0
6038,4300,1
11159,3522,1
14851,5621,0
12602,4037,1
11965,5761,0
13064,2628,0
8990,4186,0
17003,8581,0
10738,5932,1
7581,5318,0
12360,3424,0
12850,5413,0
12376,2893,0
9867,2240,0
8914,2329,0
11491,6284,1
14468,2910,0
15110,5057,0
8464,2948,0
12857,9196,0
8849,5756,1
8507,3818,1
10330,5568,1
8535,6243,0
10855,3727,0
8597,2274,0
13521,9632,0
4745,2711,0
9552,6670,0
9490,1900,0
12979,6112,0
14468,6462,1
9594,3989,0
8704,4417,0
18268,9686,0
12367,2846,0
10289,5999,1
13098,8073,1
12806,7419,0
10518,2669,0
8260,3957,0
16188,9623,0
11094,1046,0
7429,3554,1
5837,1405,0
12818,2996,0
3898,1225,0
8395,3867,1
10619,4099,0
9107,5026,1
7445,4159,1
5912,4687,1
13727,6523,1
13862,8297,0
11809,0,0
9228,3523,0
7316,4547,0
14578,7289,0
9825,2083,0
13583,4728,0
5919,2583,0
7960,4701,1
14892,8654,1
14005,8072,0
12699,9180,1
10751,2450,0
15314,11190,0
9456,3406,0
9319,5260,0
14611,4089,0
10947,7587,1
14886,3027,0
18067,0,0
11301,3808,0
12454,9176,0
5370,3149,1
18391,6097,0
15293,4822,0
13704,10413,0
7870,4110,1
11857,4356,0
12703,5019,0
13027,8856,1
16037,8821,0
8877,5933,1
11390,8945,1
15590,9952,1
15107,7485,1
14197,2978,1
19950,15681,0
15592,6591,1
14149,10084,1
9966,4823,0
13554,5933,0
8774,3740,0
14565,9126,1
13204,5278,0
9841,3384,0
17607,8001,0
5876,4304,0
7677,1768,0
9178,3803,0
16780,9091,0
12466,5885,1
10243,5991,1
10673,7979,0
16261,3402,0
10919,5799,0
9379,3309,0
13614,6508,1
8826,3001,0
11080,4390,0
8844,2584,0
11953,4493,1
12775,9654,1
11507,2664,0
10412,5725,0
12316,3152,0
12137,8351,1
14831,7762,0
12928,8303,1
10237,6652,0
9901,3282,0
14018,5682,0
12774,9098,1
12606,6095,1
13240,4461,1
12334,8161,0
10401,5368,0
9625,7180,1
6826,3232,0
10497,3707,0
12819,5894,0
13227,7718,0
14225,8951,1
9755,4762,0
8757,2544,0
8513,6101,1
21426,7148,0
13126,6448,0
16740,10205,0
14380,11367,0
15406,4350,0
14489,6304,0
10509,3103,1
14646,10851,1
12339,5513,0
10231,7376,1
19409,9189,0
15815,6657,0
11337,2578,0
9318,2281,0
8752,3101,0
13678,4717,1
15497,3187,0
14370,10061,1
13327,6498,1
15818,6100,0
11234,2932,0
9898,6018,1
10725,4442,0
13869,4223,0
5915,2465,0
14303,4256,0
11348,4487,0
15687,9945,1
16155,5068,0
13420,7058,0
18217,11062,0
12762,3244,0
14196,4807,1
14323,11406,1
7036,5329,0
13659,7009,0
10461,3179,0
10861,2923,0
11263,5867,0
15854,5105,0
17277,6830,0
11859,3061,0
9817,4656,0
12198,4018,1
12201,8482,1
12180,5043,0
7486,5285,1
10879,6325,0
10517,6662,1
16380,9415,0
14532,7592,0
11409,4108,0
10758,3209,0
16597,3955,0
10409,7175,1
13664,8936,0
13318,5910,1
7737,5078,0
11240,7284,0
10222,5070,0
15015,4841,1
11627,8911,1
14953,5401,0
8196,6127,1
11462,2966,0
12009,4207,0
16106,11743,0
14497,6602,0
12879,1004,0
11858,2968,0
7373,1712,0
10115,3155,0
11952,9061,0
14838,6791,0
11358,3517,1
9356,4105,0
9849,3159,0
9138,2377,0
18359,11677,0
11560,5565,0
11658,2961,1
12209,6532,1
13829,4593,0
10660,4933,0
6606,3155,0
12539,7743,0
16701,10021,0
14869,6520,0
12797,2769,0
6358,1709,0
8469,5784,0
10315,4116,1
8735,2221,1
12180,4445,0
11519,3223,0
11499,5023,0
14270,2927,0
12633,3545,0
9696,3278,0
10702,5125,1
13337,9199,1
17264,4587,0
8705,2912,1
2358,1792,1
7397,1904,0
13591,4039,0
13802,5472,1
11577,8299,0
11240,7998,1
15014,3641,1
11745,5861,1
17664,7369,0
12375,6983,1
9850,3803,0
16876,7577,0
10786,3241,1
9615,5910,0
10573,3920,0
14073,10132,0
12742,7714,0
12064,6865,0
12204,4307,0
9677,2093,0
6583,1766,0
13199,10487,1
12151,4888,0
11127,6663,1
10230,4956,0
13921,7622,1
8698,562,0
10039,2850,0
10822,3120,0
10688,6751,0
7955,4378,1
15035,8507,1
8588,6647,1
17060,6956,0
9011,3976,0
13615,5038,0
13091,2700,0
14038,8173,0
7212,1918,0
12527,7210,1
10172,3342,0
10148,4412,0
7650,4242,0
6952,3569,0
16818,9873,1
12870,5027,0
17848,10647,1
14116,7266,0
18910,14222,0
13114,10360,1
10483,5647,0
16076,7253,0
13320,2772,0
11647,9197,1
9717,4116,1
14718,10884,1
9238,2380,0
18986,4012,0
11585,5116,0
16499,6179,1
14231,8233,1
13719,2926,0
7841,4558,1
13337,7574,1
12901,5019,0
10285,2171,0
10778,8079,1
12502,8273,0
11620,3565,0
8994,7032,0
9492,6419,0
14822,7295,0
12727,5230,0
8453,2037,0
16292,11340,1
10643,7747,0
17771,8718,1
12839,4753,0
14919,4427,0
7746,1631,0
11402,6543,0
12116,2669,0
14986,6119,0
11850,8378,1
9177,4798,0
11486,8032,1
10239,0,0
11020,3051,0
14690,5676,0
10616,871,0
12393,4148,1
6870,2036,0
10623,6095,1
13605,9653,1
14130,11250,1
15930,8251,1
17629,5030,0
11617,8061,1
7840,3637,1
7559,2004,0
11719,3930,0
13214,6030,0
13189,8741,1
11227,7098,1
12572,4409,0
9739,5629,0
12464,7741,0
11367,3998,0
13350,3518,0
8985,3058,0
14701,4441,0
9237,6420,1
11609,3800,0
5881,1550,0
12615,2962,0
13987,10807,0
8380,3722,0
14921,3603,0
9908,7064,1
11312,6496,1
12851,8511,1
9502,2075,0
9943,7169,0
13005,5652,0
17470,11213,1
8656,1986,0
15754,4845,1
16764,8858,0
12693,5711,0
12902,10106,0
19446,11064,1
10967,8057,1
14066,10823,1
10736,6846,1
15139,11960,0
13452,2034,0
11643,2812,0
10030,2531,0
18747,14206,1
9067,2683,0
10934,5198,1
13752,4768,1
12162,5508,1
10279,6187,0
8636,2244,0
12919,7936,1
12063,4071,0
8649,1890,0
7436,2903,0
9646,5655,0
11441,5061,0
10831,3349,0
8698,3804,0
10075,2318,0
10982,3263,0
10366,6027,0
15759,8436,1
13223,8498,1
11458,6472,1
11352,5687,0
15663,7347,1
11110,6609,1
8583,4525,0
16877,6201,0
8256,2996,0
9262,2773,1
5310,2145,0
13884,4835,0
8384,5683,0
13244,3824,0
12217,8881,1
10718,4939,0
13093,3943,0
5097,3952,1
14280,10617,1
8837,3457,0
9269,2603,0
9153,5767,0
12805,4384,0
15427,8504,0
5208,1711,0
14874,9967,1
11556,2956,0
12570,2683,0
11552,7390,0
10781,6871,0
16563,7818,0
11380,3470,0
10539,3075,0
11615,2959,0
13157,3072,1
13975,4163,0
13911,4918,0
10363,6792,0
14888,4380,0
13573,4272,1
12156,8401,0
17678,5378,0
12623,684,0
14997,11969,0
9116,3144,0
9873,4959,1
14130,10503,0
10057,2310,0
17301,8911,1
13022,10227,0
10215,2262,0
8954,6727,1
11241,8199,1
11569,2756,0
9700,6032,1
13988,2902,0
15846,9881,1
11321,4482,0
13862,9053,1
13074,6075,0
15787,9037,1
12768,5020,0
15305,3836,0
15005,3302,0
14997,3542,0
9615,6586,1
5529,2820,0
14524,8363,0
4996,3520,1
14764,3396,1
12716,3460,0
11962,4835,0
13887,6515,0
19476,4287,0
12689,3771,0
10625,4696,0
11433,6950,0
13349,8380,0
11386,5557,0
13604,3035,0
7011,1406,0
12547,3701,0
9858,2679,0
7733,2062,0
18155,6989,0
13640,5521,1
12275,8874,1
12886,6718,0
12169,7813,0
14905,8399,0
13066,5164,0
12347,9628,1
11808,4585,1
3385,1509,0
16205,4967,0
14274,4928,0
8402,2542,0
8644,2243,0
9992,3648,0
11753,5690,1
11212,4790,0
14895,5544,0
16100,9149,0
12087,5524,0
9376,6672,1
7944,2725,0
14545,2993,0
12033,6470,0
8428,5848,0
14309,7275,1
12425,4802,0
11471,7886,1
9707,3802,0
8499,4743,0
9884,2241,0
9089,3896,0
9973,2278,0
11151,7912,1
14123,6465,0
8212,4211,0
15705,9669,1
12180,3272,0
16442,7808,1
14235,7783,0
13332,5295,0
8253,2648,0
11354,8046,1
13483,5908,0
9466,6136,0
9756,6849,0
9462,6784,1
11677,2425,0
10080,2770,0
15688,10809,0
7149,3901,0
10517,6284,0
11875,6559,1
16238,4024,0
14459,3427,0
10340,5128,0
8769,2306,0
12250,9637,1
13744,7665,0
9507,5410,1
8897,5694,0
13111,10041,0
14280,7831,1
16480,8445,1
15417,8494,0
6890,4749,0
10082,6853,1
10916,7580,1
8506,5914,0
7383,1943,0
11751,2604,0
14317,9321,1
10557,5764,0
17065,9309,0
9776,5922,0
12652,9310,1
12520,8439,1
16136,8812,0
8025,3212,0
15825,7371,0
11705,4194,0
10525,5898,1
15436,4838,0
7340,3198,0
9696,4511,0
17936,13584,1
13015,9125,1
14507,4770,0
14135,9373,1
16075,12801,0
11703,8512,1
16330,12483,1
13371,3183,0
9497,2076,0
9684,6189,1
14525,11323,1
10546,3502,1
10289,3826,0
11308,8055,1
11172,6532,0
12633,7988,0
9377,3513,0
10893,3951,0
7408,3653,0
8752,3320,1
10250,6023,0
4072,2366,1
14490,11395,1
18168,11808,1
11407,7128,0
9969,5693,1
9982,5277,0
13768,5870,1
15243,11598,0
10397,4880,0
10681,2890,0
10436,3944,0
9000,5851,1
10232,3438,0
15893,9506,0
15565,9303,0
14530,10714,0
13731,3316,0
16827,11235,1
10402,2877,0
7723,2614,0
11249,2857,0
10742,3915,0
8083,2272,0
9476,2012,0
13248,9304,0
15879,6755,0
16415,5278,0
14779,6267,0
8952,6225,1
11359,2911,0
13489,8536,1
9961,2366,0
8246,4171,0
10426,6645,0
11812,5591,0
10723,2216,0
12692,5211,0
6380,3273,0
19473,4781,0
9459,2453,0
12461,3953,0
12547,8172,1
9148,2724,0
16824,8455,0
5464,3138,0
6826,5052,1
14327,7052,0
11620,3819,1
9312,3914,0
8098,3274,0
15197,4612,0
12301,5338,0
15893,6974,0
8132,3198,0
11359,6294,1
17093,5231,1
7598,5833,1
7913,4530,0
9950,3161,0
13738,6604,0
11870,2651,0
11078,3355,0
14080,4813,0
7419,3525,1
10674,4873,0
15304,10883,1
10456,5165,0
10080,3461,0
15576,3418,0
19782,9065,0
11494,8196,0
9895,4238,1
13610,8862,1
9577,4845,1
10462,6559,1
15377,11188,1
13771,8557,0
14315,11314,1
17369,6851,0
15933,4488,0
6138,2083,0
12730,3453,0
13558,4977,1
12908,4963,1
13748,3912,0
16395,10825,1
14800,4095,0
11917,6875,0
11715,3349,0
11552,6789,0
13736,10952,1
17230,6134,0
11832,6843,1
4081,1552,0
11884,7506,1
10987,5706,0
12822,5132,0
11629,4152,0
5071,2898,1
13391,3575,0
14361,7046,0
17829,9289,0
9931,4817,0
12231,4567,0
16155,9335,1
16243,8576,0
13429,5764,1
8279,5595,0
13315,1449,0
14522,5812,0
16218,11016,1
9420,5221,1
11131,6852,1
10721,6208,0
10476,2785,0
16696,6740,0
15929,10710,1
9448,2831,0
9074,4145,1
10433,2498,0
16399,3266,1
14450,6643,1
12738,3550,0
18580,10272,0
13084,7024,0
9844,6506,0
18145,9667,0
9263,614,0
13201,8128,1
11538,3544,0
14172,4968,0
14766,5318,0
12923,5442,0
14880,8646,1
11164,2312,0
12312,4936,1
16560,8620,0
5955,4371,1
14819,8405,0
5603,2853,0
15278,6577,0
14218,5760,0
8739,5081,0
10527,8079,1
11039,8381,1
11705,3500,0
9511,4006,0
19356,13394,1
10124,3254,0
9413,2546,0
10045,2521,0
11968,8820,1
9935,5779,0
10826,5358,0
14243,11120,0
12989,4427,0
15765,11289,0
15384,10543,0
10880,4289,1
13944,4803,0
12896,10306,1
13535,6597,0
8471,4318,0
17220,6936,0
7913,3434,0
12455,0,0
9307,2858,0
11772,6491,1
11647,3071,0
18864,5232,0
10956,3480,0
10609,7843,0
10482,2612,0
13143,3919,0
12481,7110,0
10840,6200,1
12260,2465,1
15725,9506,0
9864,6730,1
8720,5373,0
12990,4354,0
10659,3636,0
9409,2725,0
14632,9319,0
7116,1457,0
10140,2438,0
14665,6476,0
7110,4739,0
8807,6672,1
7644,3275,1
14568,5818,0
12896,6569,1
12339,6231,0
9422,2722,0
16790,12748,1
3668,1655,0
8195,6510,1
10335,3214,0
11985,4839,0
10790,2754,0
12837,4076,0
13722,9901,1
9834,7313,0
14265,7162,0
15269,5373,0
13505,2836,0
8378,1950,0
15511,5461,0
11455,3079,0
13424,10342,0
12235,6482,1
13208,4991,0
10213,2989,0
7792,3500,0
9459,5743,0
10941,3802,0
14859,6970,0
13143,5998,0
12421,6427,0
18178,6092,0
15761,4921,0
11198,2600,0
6833,4825,1
7949,3410,0
8131,3405,0
6266,1833,0
15347,3132,0
11207,8325,0
3510,1641,0
13917,9770,0
18502,7887,0
10111,8047,0
14827,5587,0
9744,7734,1
11485,8408,1
15763,4442,0
11726,4807,1
10583,4525,0
13872,6261,0
13908,10156,1
10869,2912,0
16328,10567,1
13643,10798,1
11653,3552,0
12395,5277,0
11233,4269,1
6788,2978,0
7276,4911,1
10908,8273,1
16139,4608,0
14124,3434,0
11993,2733,0
18073,4379,0
8555,2109,0
9700,2841,0
10828,3133,0
21775,2690,1
11917,7425,0
15214,9719,0
10576,6475,1
9523,2179,0
10667,4543,0
15359,10459,0
18106,7733,0
10707,4110,0
14054,9985,1
13798,9194,1
8005,4816,1
6413,1833,0
8346,3800,1
12535,9908,1
14782,11607,1
19157,14792,0
5356,2936,0
13910,10623,0
9003,4738,0
7783,3602,0
9881,7232,1
12181,6900,0
10371,3134,1
18212,13362,1
18151,13002,1
7979,4615,0
8533,5176,1
12853,6421,0
10609,7037,0
15009,10234,0
10741,6043,0
12844,6662,1
11862,4662,0
6991,4705,0
10907,5094,0
9155,6388,1
14891,9645,1
14611,8137,0
8597,5075,1
14013,7482,0
15210,9828,1
10138,7201,1
14542,7871,0
13078,4913,0
8111,4397,0
20303,4133,0
9436,2370,0
5901,1875,1
6667,1345,0
15249,9032,0
16509,7348,0
10780,6729,1
12230,0,0
14230,7947,0
11761,7935,0
10441,6497,0
8661,4983,0
15170,6679,1
15720,5428,0
14493,7862,1
10107,4632,0
15150,9583,1
12814,4466,0
15311,11849,1
13375,4641,0
13461,0,0
14232,4098,0
8957,6400,1
12476,4127,1
11901,3523,0
12192,4767,0
13772,3929,0
11359,7609,0
10775,6402,1
10574,3068,0
8923,2352,0
10853,2373,0
12496,4678,1
12609,7717,0
17210,9964,1
11677,8135,0
11674,5005,0
6915,3109,0
12679,8747,0
15252,9783,0
12751,4199,1
12309,3344,0
13685,3350,0
13306,3907,1
16737,8292,0
